log_id,log_timestamp,site_id,zone_id,device_id,badge_id,user_id,outcome
LOG-000043,2025-01-13 09:53:55+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00188,USR-0188,granted
LOG-000044,2025-01-14 08:14:07+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00123,USR-0123,granted
LOG-000045,2025-01-13 04:32:32+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00087,USR-0087,granted
LOG-000046,2025-01-11 02:43:53+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00025,USR-0025,granted
LOG-000047,2025-01-07 06:32:30+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00182,USR-0182,denied
LOG-000048,2025-01-03 20:30:37+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00033,USR-0033,denied
LOG-000049,2025-01-13 18:45:51+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00145,USR-0145,granted
LOG-000050,2025-01-08 10:17:12+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00061,USR-0061,granted
LOG-000051,2025-01-07 07:52:29+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00056,USR-0056,granted
LOG-000052,2025-01-06 11:31:25+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00035,USR-0035,granted
LOG-000053,2025-01-04 01:19:13+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00076,USR-0076,granted
LOG-000054,2025-01-06 08:28:13+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00136,USR-0136,tailgated
LOG-000055,2025-01-12 04:12:06+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00084,USR-0084,granted
LOG-000056,2025-01-08 20:09:20+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,,USR-0005,granted
LOG-000057,2025-01-06 12:53:48+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00053,USR-0053,granted
LOG-000058,2025-01-02 12:20:18+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00033,USR-0033,granted
LOG-000059,2025-01-06 19:25:31+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00081,USR-0081,denied
LOG-000060,2025-01-04 00:20:42+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00181,USR-0181,granted
LOG-000062,2025-01-03 02:17:32+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,,USR-0200,granted
LOG-000063,2025-01-14 06:27:32+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00023,USR-0023,granted
LOG-000064,2025-01-03 10:27:24+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,BADGE-00098,USR-0098,granted
LOG-000065,2025-01-02 17:42:59+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00010,USR-0010,granted
LOG-000066,2025-01-10 04:09:10+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00100,USR-0100,granted
LOG-000068,2025-01-14 22:42:40+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00155,USR-0155,granted
LOG-000069,2025-01-06 15:46:23+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00068,USR-0068,denied
LOG-000070,2025-01-10 02:46:16+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00008,USR-0008,granted
LOG-000071,2025-01-12 16:16:36+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00091,USR-0091,granted
LOG-000073,2025-01-12 08:01:43+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00125,USR-0125,granted
LOG-000074,2025-01-09 01:52:27+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00020,USR-0020,tailgated
LOG-000075,2025-01-12 09:38:35+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00123,USR-0123,granted
LOG-000076,2025-01-04 23:11:29+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,,USR-0081,granted
LOG-000077,2025-01-13 04:22:47+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00148,USR-0148,granted
LOG-000078,2025-01-13 05:05:38+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00197,USR-0197,invalid_credential
LOG-000079,2025-01-06 08:58:13+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00046,USR-0046,granted
LOG-000080,2025-01-01 22:34:33+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,BADGE-00151,USR-0151,granted
LOG-000081,2025-01-10 14:02:38+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00026,USR-0026,granted
LOG-000082,2025-01-02 10:24:55+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00198,USR-0198,granted
LOG-000083,2025-01-01 05:50:49+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00097,USR-0097,granted
LOG-000084,2025-01-14 06:24:05+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00150,USR-0150,granted
LOG-000085,2025-01-08 22:43:22+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00156,USR-0156,granted
LOG-000086,2025-01-10 02:27:43+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00122,USR-0122,granted
LOG-000087,2025-01-13 07:50:39+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00077,USR-0077,granted
LOG-000088,2025-01-14 00:07:51+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00151,USR-0151,granted
LOG-000089,2025-01-14 09:23:21+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,BADGE-00096,USR-0096,granted
LOG-000090,2025-01-02 20:38:58+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00132,USR-0132,granted
LOG-000091,2025-01-05 12:50:17+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00123,USR-0123,granted
LOG-000092,2025-01-11 18:08:07+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00093,USR-0093,granted
LOG-000093,2025-01-01 09:40:11+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00024,USR-0024,granted
LOG-000095,2025-01-08 04:57:57+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,,USR-0000,granted
LOG-000096,2025-01-05 19:22:00+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00105,USR-0105,granted
LOG-000097,2025-01-03 10:03:26+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,BADGE-00128,USR-0128,granted
LOG-000098,2025-01-13 14:03:38+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00052,USR-0052,granted
LOG-000099,2025-01-07 06:30:15+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00142,USR-0142,granted
LOG-000100,2025-01-06 18:10:53+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00098,USR-0098,granted
LOG-000101,2025-01-10 04:54:06+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00044,USR-0044,granted
LOG-000102,2025-01-10 09:18:00+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00030,USR-0030,granted
LOG-000103,2025-01-07 21:31:48+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,BADGE-00080,USR-0080,granted
LOG-000104,2025-01-13 10:07:28+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,,USR-0000,granted
LOG-000105,2025-01-05 03:27:02+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00057,USR-0057,granted
LOG-000106,2025-01-13 04:36:48+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00050,USR-0050,granted
LOG-000107,2025-01-13 03:45:11+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00054,USR-0054,granted
LOG-000108,2025-01-01 02:59:33+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00059,USR-0059,granted
LOG-000109,2025-01-11 13:34:50+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00148,USR-0148,granted
LOG-000110,2025-01-03 05:09:36+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00100,USR-0100,granted
LOG-000111,2025-01-07 19:09:36+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00094,USR-0094,denied
LOG-000112,2025-01-13 20:39:23+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,,USR-0000,??unknown??
LOG-000113,2025-01-03 17:42:20+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00109,USR-0109,granted
LOG-000114,2025-01-08 20:58:17+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00193,USR-0193,granted
LOG-000115,2025-01-11 21:17:38+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00150,USR-0150,denied
LOG-000116,2025-01-07 17:20:48+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00090,USR-0090,granted
LOG-000117,2025-01-02 02:15:22+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00062,USR-0062,granted
LOG-000118,2025-01-01 21:55:34+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,BADGE-00071,USR-0071,granted
LOG-000119,2025-01-08 06:00:09+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00006,USR-0006,granted
LOG-000120,2025-01-01 08:25:02+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00006,USR-0006,tailgated
LOG-000121,2025-01-01 05:11:48+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00156,USR-0156,granted
LOG-000122,2025-01-14 08:20:49+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00169,USR-0169,denied
LOG-000123,2025-01-08 11:03:42+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00194,USR-0194,denied
LOG-000124,2025-01-07 15:12:49+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00126,USR-0126,denied
LOG-000125,2025-01-02 09:43:59+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00186,USR-0186,granted
LOG-000126,2025-01-12 00:14:09+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00084,USR-0084,denied
LOG-000127,2025-01-08 03:30:10+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00051,USR-0051,granted
LOG-000128,2025-01-04 01:55:12+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00050,USR-0050,granted
LOG-000129,2025-01-11 12:58:12+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00048,USR-0048,granted
LOG-000130,2025-01-04 07:39:21+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00150,USR-0150,granted
LOG-000131,2025-01-08 01:02:51+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00002,USR-0002,granted
LOG-000132,2025-01-08 20:14:43+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00190,USR-0190,granted
LOG-000133,2025-01-04 21:44:44+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00155,USR-0155,granted
LOG-000134,2025-01-13 06:20:39+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00077,USR-0077,granted
LOG-000135,2025-01-10 20:23:02+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00141,USR-0141,granted
LOG-000136,2025-01-05 00:57:45+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00027,USR-0027,granted
LOG-000137,2025-01-03 04:36:42+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00087,USR-0087,granted
LOG-000138,2025-01-05 14:28:35+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00022,USR-0022,granted
LOG-000139,2025-01-07 12:21:40+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00023,USR-0023,granted
LOG-000140,2025-01-08 17:00:38+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00002,USR-0002,granted
LOG-000141,2025-01-06 14:27:33+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00160,USR-0160,granted
LOG-000142,2025-01-01 13:26:29+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00149,USR-0149,granted
LOG-000143,2025-01-10 11:11:06+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,,USR-0179,granted
LOG-000144,2025-01-06 07:15:49+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00197,USR-0197,granted
LOG-000145,2025-01-05 16:42:53+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00193,USR-0193,denied
LOG-000146,2025-01-08 18:54:38+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00199,USR-0199,granted
LOG-000147,2025-01-12 16:38:42+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00004,USR-0004,invalid_credential
LOG-000148,2025-01-01 01:37:17+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00157,USR-0157,granted
LOG-000149,2025-01-14 10:49:11+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00145,USR-0145,granted
LOG-000150,2025-01-09 22:22:08+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00033,USR-0033,granted
LOG-000151,2025-01-08 15:43:19+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00028,USR-0028,denied
LOG-000152,2025-01-01 17:07:21+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00196,USR-0196,granted
LOG-000153,2025-01-10 22:58:18+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00177,USR-0177,granted
LOG-000154,2025-01-11 01:54:21+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00066,USR-0066,granted
LOG-000155,2025-01-08 20:18:00+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00015,USR-0015,granted
LOG-000156,2025-01-12 05:21:49+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00067,USR-0067,granted
LOG-000157,2025-01-12 17:47:49+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00002,USR-0002,granted
LOG-000158,2025-01-12 17:50:05+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00138,USR-0138,invalid_credential
LOG-000159,2025-01-05 13:47:49+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00077,USR-0077,granted
LOG-000160,2025-01-10 10:15:29+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00010,USR-0010,granted
LOG-000161,2025-01-01 19:15:28+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00196,USR-0196,granted
LOG-000162,2025-01-08 20:41:14+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00166,USR-0166,granted
LOG-000163,2025-01-03 01:02:35+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00181,USR-0181,granted
LOG-000164,2025-01-05 07:20:25+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,BADGE-00200,USR-0200,granted
LOG-000165,2025-01-10 11:21:39+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00003,USR-0003,granted
LOG-000167,2025-01-13 02:06:27+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00158,USR-0158,tailgated
LOG-000168,2025-01-02 05:15:02+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00157,USR-0157,granted
LOG-000169,2025-01-14 14:34:09+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00054,USR-0054,granted
LOG-000170,2025-01-10 21:35:09+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00079,USR-0079,granted
LOG-000171,2025-01-07 00:39:09+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00186,USR-0186,granted
LOG-000172,2025-01-01 08:17:37+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00014,USR-0014,granted
LOG-000173,2025-01-01 14:02:15+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00129,USR-0129,denied
LOG-000174,2025-01-06 18:54:52+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00159,USR-0159,invalid_credential
LOG-000175,2025-01-09 00:20:29+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00160,USR-0160,granted
LOG-000176,2025-01-08 02:05:11+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00120,USR-0120,granted
LOG-000177,2025-01-05 03:53:22+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00154,USR-0154,invalid_credential
LOG-000178,2025-01-10 02:25:47+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00182,USR-0182,granted
LOG-000179,2025-01-09 14:23:44+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00154,USR-0154,granted
LOG-000180,2025-01-05 19:18:52+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00024,USR-0024,granted
LOG-000181,2025-01-05 13:23:36+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00049,USR-0049,granted
LOG-000182,2025-01-07 04:46:35+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00062,USR-0062,granted
LOG-000183,2025-01-11 09:43:20+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00069,USR-0069,granted
LOG-000184,2025-01-09 05:21:29+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00073,USR-0073,granted
LOG-000185,2025-01-02 18:42:41+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00044,USR-0044,granted
LOG-000186,2025-01-13 22:11:11+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00137,USR-0137,granted
LOG-000187,2025-01-03 19:55:12+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00023,USR-0023,granted
LOG-000188,2025-01-10 09:46:56+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00158,USR-0158,granted
LOG-000189,2025-01-01 05:38:16+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00132,USR-0132,granted
LOG-000190,2025-01-04 13:29:22+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00193,USR-0193,granted
LOG-000191,2025-01-08 21:44:59+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00002,USR-0002,granted
LOG-000192,2025-01-12 20:40:49+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00060,USR-0060,granted
LOG-000193,2025-01-08 21:05:07+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00180,USR-0180,granted
LOG-000194,2025-01-01 18:30:04+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00099,USR-0099,denied
LOG-000195,2025-01-14 09:05:32+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00113,USR-0113,granted
LOG-000196,2025-01-04 19:29:31+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00006,USR-0006,granted
LOG-000197,2025-01-06 02:31:10+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00153,USR-0153,granted
LOG-000198,2025-01-02 12:20:19+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00051,USR-0051,granted
LOG-000199,2025-01-10 17:56:41+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00193,USR-0193,??unknown??
LOG-000200,2025-01-07 06:12:16+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00075,USR-0075,granted
LOG-000201,2025-01-04 01:46:27+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00038,USR-0038,granted
LOG-000202,2025-01-09 22:00:26+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00119,USR-0119,granted
LOG-000203,2025-01-03 17:51:09+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00096,USR-0096,granted
LOG-000204,2025-01-08 10:24:50+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00095,USR-0095,granted
LOG-000205,2025-01-10 06:58:40+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00190,USR-0190,??unknown??
LOG-000206,2025-01-12 08:35:01+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,,USR-0000,denied
LOG-000207,2025-01-10 17:27:13+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00080,USR-0080,granted
LOG-000208,2025-01-08 22:40:32+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00125,USR-0125,granted
LOG-000209,2025-01-01 11:25:12+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,BADGE-00035,USR-0035,denied
LOG-000210,2025-01-04 06:10:32+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,BADGE-00166,USR-0166,granted
LOG-000211,2025-01-09 02:09:23+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00046,USR-0046,granted
LOG-000212,2025-01-08 12:14:14+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,BADGE-00049,USR-0049,denied
LOG-000213,2025-01-08 11:17:46+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00003,USR-0003,granted
LOG-000214,2025-01-11 07:07:27+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00069,USR-0069,granted
LOG-000215,2025-01-13 16:02:35+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00117,USR-0117,granted
LOG-000216,2025-01-08 00:59:31+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00141,USR-0141,denied
