event_id,event_timestamp,site_id,zone_id,device_id,event_type,confidence_score
EVT-000016,2025-01-12 17:21:36+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.5539954068261094
EVT-000017,2025-01-06 08:59:56+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,normal_motion,0.6157035044832189
EVT-000018,2025-01-07 22:01:52+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,intrusion,0.7915970666777992
EVT-000019,2025-01-01 13:59:57+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.3989465687968194
EVT-000020,2025-01-02 14:55:39+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.7154785339583032
EVT-000021,2025-01-01 18:47:52+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,normal_motion,0.31602432581428425
EVT-000022,2025-01-02 00:12:41+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.6325909737342936
EVT-000023,2025-01-13 03:49:21+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.8362624241413096
EVT-000024,2025-01-12 18:54:33+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,normal_motion,0.673300278670096
EVT-000025,2025-01-12 12:09:12+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.6255937617809689
EVT-000026,2025-01-01 18:40:13+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.5159325796795386
EVT-000027,2025-01-02 02:05:18+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,normal_motion,0.6046570800732831
EVT-000028,2025-01-04 22:17:06+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.5621905776894965
EVT-000029,2025-01-08 21:56:19+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.4821035088102967
EVT-000030,2025-01-05 16:16:02+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.5565186576787695
EVT-000031,2025-01-07 19:49:11+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.6297571740939659
EVT-000032,2025-01-03 10:07:33+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.4849174397204039
EVT-000033,2025-01-11 05:32:28+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.47905772689729736
EVT-000034,2025-01-05 09:28:04+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.3959634843611738
EVT-000035,2025-01-01 22:21:26+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,normal_motion,0.6586087539133344
EVT-000036,2025-01-11 09:32:39+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.681798489295059
EVT-000037,2025-01-13 15:20:11+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.6347490666354776
EVT-000038,2025-01-01 04:55:59+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.7447755739092998
EVT-000039,2025-01-07 02:43:18+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,loitering,0.8014603797085876
EVT-000040,2025-01-12 13:55:47+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,loitering,0.773353816580233
EVT-000041,2025-01-10 21:16:15+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,0.6455756138456344
EVT-000042,2025-01-12 23:47:59+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.5862689970872688
EVT-000043,2025-01-06 19:30:37+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.5203767257805529
EVT-000044,2025-01-06 05:04:46+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,intrusion,0.8165879266619691
EVT-000045,2025-01-10 22:16:58+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.5322073530219738
EVT-000046,2025-01-03 03:36:49+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,object_left,0.9187692185117782
EVT-000047,2025-01-04 08:26:43+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.665101473517516
EVT-000048,2025-01-09 09:52:55+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,normal_motion,0.6377781622942508
EVT-000049,2025-01-10 08:36:01+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,tailgating,0.8234639891685746
EVT-000050,2025-01-02 16:12:34+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.7684017381845607
EVT-000051,2025-01-08 02:47:31+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,loitering,0.6526317323591398
EVT-000052,2025-01-06 02:36:45+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.4333603357176419
EVT-000053,2025-01-08 00:35:09+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,loitering,0.8229603444196641
EVT-000054,2025-01-14 10:01:54+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.693851335739423
EVT-000055,2025-01-02 01:44:27+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.4103187012078129
EVT-000056,2025-01-14 22:28:32+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.8665774260386586
EVT-000057,2025-01-07 07:03:29+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,tailgating,0.8078847017342845
EVT-000058,2025-01-11 19:25:37+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,0.5984705826562431
EVT-000059,2025-01-06 22:37:18+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.8385328208432669
EVT-000060,2025-01-05 08:28:58+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,1.0
EVT-000061,2025-01-11 18:55:16+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,normal_motion,0.5957875387343952
EVT-000062,2025-01-10 15:03:18+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.5009549825967017
EVT-000063,2025-01-03 00:24:11+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.6872775658960617
EVT-000064,2025-01-10 21:00:58+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.671490445098597
EVT-000065,2025-01-11 13:02:01+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,normal_motion,0.6022020209834567
EVT-000066,2025-01-06 10:18:52+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.48150204691985954
EVT-000067,2025-01-13 23:01:04+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,normal_motion,0.6194894781249111
EVT-000068,2025-01-09 23:20:17+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,intrusion,0.773780406896275
EVT-000069,2025-01-05 16:05:55+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.39997885218986984
EVT-000070,2025-01-01 03:36:15+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.3792281473013721
EVT-000071,2025-01-10 10:47:11+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.6847730068214654
EVT-000072,2025-01-03 22:14:35+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.20971675274224666
EVT-000073,2025-01-11 14:11:33+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.6308115790441889
EVT-000074,2025-01-08 08:25:45+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,0.5282875413369263
EVT-000075,2025-01-07 12:49:11+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.7962369910319865
EVT-000076,2025-01-03 07:01:12+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.5259797686269186
EVT-000077,2025-01-10 23:03:55+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.6989226321377844
EVT-000078,2025-01-03 07:44:39+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.5404629238143313
EVT-000079,2025-01-06 20:21:53+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.6170622230229215
EVT-000080,2025-01-12 16:59:52+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,tailgating,0.8986818547149283
EVT-000081,2025-01-13 21:14:33+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,normal_motion,0.5306166425513129
EVT-000082,2025-01-14 20:20:54+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.7494832326747606
EVT-000083,2025-01-14 09:53:30+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,0.4509453184340275
EVT-000084,2025-01-08 18:48:19+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.6441889263837568
EVT-000085,2025-01-03 19:21:40+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.7383959584181778
EVT-000086,2025-01-12 17:55:37+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.6990056237685502
EVT-000087,2025-01-12 05:20:51+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.8874667315103115
EVT-000088,2025-01-14 20:44:52+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.4854841024034009
EVT-000089,2025-01-10 02:43:05+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.39312761229771176
EVT-000090,2025-01-02 23:34:33+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,tailgating,0.8126486002819153
EVT-000091,2025-01-08 00:58:29+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.6990663849822656
EVT-000092,2025-01-07 06:36:36+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.6746884401404067
EVT-000093,2025-01-12 19:13:47+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.6153384989471123
EVT-000094,2025-01-06 11:54:14+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,normal_motion,0.4315564426339305
EVT-000095,2025-01-05 14:24:24+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,normal_motion,0.7150300939993591
EVT-000096,2025-01-02 02:53:46+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,tailgating,0.756576093585204
EVT-000097,2025-01-12 16:42:47+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,1.0
EVT-000098,2025-01-11 13:47:26+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,1.0
EVT-000099,2025-01-01 13:51:08+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,object_left,0.8048824642760586
EVT-000100,2025-01-07 01:44:58+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,intrusion,0.7361673273039057
EVT-000101,2025-01-07 17:11:06+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.5260710346656661
EVT-000102,2025-01-07 13:41:36+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.32846800183697755
EVT-000103,2025-01-13 20:45:38+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.5095920955454666
EVT-000104,2025-01-03 02:37:33+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,loitering,0.8184210513844994
EVT-000105,2025-01-05 06:55:53+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.38294931353774764
EVT-000106,2025-01-03 12:47:27+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,loitering,0.8699238041249239
EVT-000107,2025-01-04 10:00:43+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.6409293777038659
EVT-000108,2025-01-13 16:47:11+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.6569531370920976
EVT-000109,2025-01-14 04:04:56+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,object_left,0.8209934226062748
EVT-000110,2025-01-01 15:00:06+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,object_left,0.8504132882654866
EVT-000111,2025-01-09 20:22:57+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,0.7446826023359
EVT-000112,2025-01-04 06:14:17+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.5951494321957177
EVT-000113,2025-01-03 16:42:00+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.6796040907037099
EVT-000114,2025-01-05 02:07:53+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.5705993553232476
EVT-000116,2025-01-07 20:42:21+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,loitering,0.8707750597614123
EVT-000117,2025-01-14 22:31:29+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,normal_motion,1.0
EVT-000118,2025-01-09 05:02:43+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,0.5607657148400397
EVT-000119,2025-01-11 03:00:33+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.6084745037989849
EVT-000120,2025-01-07 21:44:42+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.40708049449368133
EVT-000121,2025-01-01 04:40:21+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,loitering,0.8491066132108029
EVT-000122,2025-01-02 04:15:44+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.6080628844485753
EVT-000123,2025-01-04 18:20:27+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,object_left,0.7241193540315664
EVT-000124,2025-01-04 09:52:19+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.4627313010780748
EVT-000125,2025-01-12 18:26:03+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.6610895840603203
EVT-000126,2025-01-12 19:26:43+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.6580588094093616
EVT-000127,2025-01-12 22:59:04+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.4269487625400359
EVT-000128,2025-01-09 22:13:46+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.6237672075749602
EVT-000129,2025-01-08 18:52:26+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.7533610838040707
EVT-000130,2025-01-10 02:06:49+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.7165609438486347
EVT-000131,2025-01-06 16:41:12+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,0.5857071319479098
EVT-000132,2025-01-10 09:11:16+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,loitering,0.7594634787318167
EVT-000133,2025-01-12 02:55:56+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.5055983273498244
EVT-000134,2025-01-11 16:20:06+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,normal_motion,1.0
EVT-000135,2025-01-09 14:14:48+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.6292655959714332
EVT-000136,2025-01-01 19:31:27+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.69441060091533
EVT-000137,2025-01-11 03:34:57+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,normal_motion,0.6197810719681728
EVT-000138,2025-01-06 03:10:48+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,loitering,0.7715857706529591
EVT-000139,2025-01-11 09:52:18+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.614188879943655
EVT-000140,2025-01-08 13:16:51+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.717703307419753
EVT-000141,2025-01-13 08:04:41+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.7306234155549958
EVT-000142,2025-01-05 17:43:15+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.479321005466278
EVT-000143,2025-01-14 00:56:53+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,0.3287783929693881
EVT-000144,2025-01-12 19:44:40+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,normal_motion,0.8315239284021829
EVT-000145,2025-01-05 15:15:06+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.6384988096068392
EVT-000146,2025-01-07 18:08:38+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.3428271156755818
EVT-000147,2025-01-08 10:31:57+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,normal_motion,0.4929270754171933
EVT-000148,2025-01-11 18:15:30+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.7157811438554742
EVT-000149,2025-01-10 15:33:23+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.5580484753300661
EVT-000150,2025-01-12 22:16:36+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,loitering,0.8544658280963466
EVT-000151,2025-01-06 04:16:31+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.810132279046945
EVT-000152,2025-01-08 01:36:34+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,loitering,0.863179842701082
EVT-000153,2025-01-07 00:46:13+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,object_left,0.7206495140661624
EVT-000154,2025-01-13 17:36:33+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.6317079712572401
EVT-000155,2025-01-05 06:28:23+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,loitering,0.8735119943151665
EVT-000156,2025-01-09 05:16:24+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,loitering,0.9715482416497694
EVT-000157,2025-01-02 16:22:31+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,intrusion,1.0
EVT-000159,2025-01-06 09:05:49+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,normal_motion,0.6734075908407613
EVT-000160,2025-01-05 18:26:17+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,intrusion,0.9248813885982476
EVT-000161,2025-01-09 03:51:35+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.6094047454855072
EVT-000162,2025-01-07 23:36:07+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.6161301270080451
EVT-000163,2025-01-12 20:55:11+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,object_left,0.7675869278660523
EVT-000164,2025-01-08 10:33:13+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,loitering,0.7251257389292288
EVT-000165,2025-01-08 05:42:35+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.6832718522917246
EVT-000166,2025-01-02 11:16:22+00:00,SITE-003,SITE-003::ZONE-B,DEV-020,normal_motion,0.6066325504350274
EVT-000167,2025-01-01 07:22:15+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.478631102258844
EVT-000168,2025-01-06 13:54:48+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.6101506887094064
EVT-000169,2025-01-14 23:23:49+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,loitering,0.8742644271323862
EVT-000170,2025-01-13 20:13:30+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,normal_motion,0.6289772369719797
EVT-000171,2025-01-09 19:20:12+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.9309787960710603
EVT-000172,2025-01-09 19:57:33+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,1.0
EVT-000173,2025-01-06 11:32:41+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,1.0
EVT-000174,2025-01-03 11:38:30+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.7602693100866447
EVT-000176,2025-01-05 17:51:18+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.9506767678758248
EVT-000177,2025-01-05 10:19:58+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.5432941062402785
EVT-000178,2025-01-03 16:22:42+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,tailgating,0.787639749037064
EVT-000179,2025-01-04 15:04:47+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,tailgating,0.7973493303483885
EVT-000180,2025-01-01 08:20:25+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,normal_motion,1.0
EVT-000181,2025-01-09 12:16:27+00:00,SITE-003,SITE-003::ZONE-D,DEV-023,loitering,0.9765774925166555
EVT-000182,2025-01-13 23:37:35+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,loitering,0.9565685174720048
EVT-000183,2025-01-10 16:06:30+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,object_left,0.9037433854227337
EVT-000184,2025-01-07 06:35:50+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,object_left,1.0
EVT-000185,2025-01-06 21:12:35+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.5857552034110992
EVT-000186,2025-01-05 07:19:53+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.5501747205241492
EVT-000187,2025-01-02 23:50:53+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,normal_motion,1.0
EVT-000188,2025-01-09 09:05:17+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,loitering,0.8755193351756017
EVT-000189,2025-01-08 22:21:06+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,normal_motion,0.49207776810321785
EVT-000190,2025-01-01 02:27:26+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,normal_motion,0.49586043566278964
EVT-000191,2025-01-06 19:36:53+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.4585980128202989
EVT-000192,2025-01-04 21:24:54+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,normal_motion,0.7404854033785182
EVT-000193,2025-01-03 09:12:51+00:00,SITE-002,SITE-002::ZONE-D,DEV-015,normal_motion,0.5453434060660137
EVT-000194,2025-01-10 20:13:08+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.6191043713484728
EVT-000195,2025-01-08 08:40:38+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,object_left,0.8770485386110198
EVT-000196,2025-01-09 20:56:46+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,tailgating,0.7591002305486282
EVT-000197,2025-01-10 23:43:46+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.47298838606739696
EVT-000198,2025-01-14 17:53:11+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.43866415707854767
EVT-000199,2025-01-12 05:43:40+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.6336445960772391
EVT-000200,2025-01-09 16:26:23+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.6901438927049846
EVT-000201,2025-01-13 07:21:03+00:00,SITE-002,SITE-002::ZONE-A,DEV-009,normal_motion,0.6498798469646461
EVT-000202,2025-01-07 16:26:30+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,normal_motion,0.4785819406354008
EVT-000203,2025-01-14 18:52:52+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,normal_motion,0.701622726313709
EVT-000204,2025-01-11 15:50:27+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,intrusion,0.7801778540267428
EVT-000205,2025-01-10 02:41:47+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,intrusion,0.8448432160523787
EVT-000206,2025-01-13 15:31:04+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,0.45840697129169966
EVT-000207,2025-01-08 05:03:58+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.7951737522978046
EVT-000208,2025-01-11 02:09:12+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.6950132311541024
EVT-000209,2025-01-04 23:40:09+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,0.690749006351831
EVT-000210,2025-01-14 11:38:19+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.7870817131713675
EVT-000211,2025-01-09 17:27:04+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,1.0
EVT-000212,2025-01-11 22:45:12+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.3436160844134767
EVT-000213,2025-01-07 10:48:27+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.48924351286843376
EVT-000214,2025-01-13 03:14:42+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.5075737373738214
EVT-000215,2025-01-02 00:55:24+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.47237705664259605
EVT-000216,2025-01-02 14:20:19+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,normal_motion,0.43836251285944305
EVT-000217,2025-01-08 02:23:27+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,normal_motion,0.5550520403916951
EVT-000218,2025-01-11 06:05:26+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.41750944270658924
EVT-000219,2025-01-12 07:53:50+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,loitering,0.9276807698865146
EVT-000220,2025-01-07 03:52:10+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,intrusion,0.6738710595357454
EVT-000221,2025-01-10 02:17:23+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,tailgating,0.9363087518045354
EVT-000222,2025-01-08 17:50:33+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.6761592677457379
EVT-000223,2025-01-14 11:04:17+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.6904510280140015
